[2025-10-29 14:29:54.793] [warn]  <Item> with non-plain text contents is unsupported by type to select for accessibility. Please add a `textValue` prop.
[2025-10-29 14:29:54.794] [warn]  <Item> with non-plain text contents is unsupported by type to select for accessibility. Please add a `textValue` prop.
[2025-10-29 14:29:54.794] [warn]  <Item> with non-plain text contents is unsupported by type to select for accessibility. Please add a `textValue` prop.
[2025-10-29 14:29:54.794] [warn]  <Item> with non-plain text contents is unsupported by type to select for accessibility. Please add a `textValue` prop.
[2025-10-29 14:29:54.794] [warn]  <Item> with non-plain text contents is unsupported by type to select for accessibility. Please add a `textValue` prop.
[2025-10-29 14:29:54.794] [warn]  <Item> with non-plain text contents is unsupported by type to select for accessibility. Please add a `textValue` prop.
[2025-10-29 14:29:54.794] [warn]  <Item> with non-plain text contents is unsupported by type to select for accessibility. Please add a `textValue` prop.
[2025-10-29 14:29:54.794] [warn]  <Item> with non-plain text contents is unsupported by type to select for accessibility. Please add a `textValue` prop.
[2025-10-29 14:29:55.821] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:29:55.821] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:29:55.821] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.de4589e8-4a7c-4210-a734-e09545676e3f.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:02.245] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:02.246] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:02.246] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.bc345690-3bf1-4dbc-842c-112073ea0318.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:02.999] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:03.000] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:03.000] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.21ff3c12-3580-423d-ac93-9d39ef5d33dc.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:04.294] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:04.294] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:04.294] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.9d435007-882b-4f2d-bedd-68eab4339038.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:04.905] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:04.905] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:04.906] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.65c176cf-0d75-40fb-ad1e-56d9c3da9eee.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:05.371] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:05.371] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:05.371] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.6aae4611-5182-42bf-a6fa-208a6445a54f.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:05.669] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:05.669] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:05.669] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.6a13d702-c352-4ff7-9207-d0e441494355.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:05.796] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:05.796] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:05.796] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.f11f00ab-6cfc-4c3d-abee-30f1fe8cdbb1.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:05.974] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:05.974] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:05.975] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.8f096fe1-4201-4b84-829f-3d3db8ff1c22.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:06.000] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:06.001] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:06.001] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.f642cf16-4d2c-4118-83fe-3c01dc5adef6.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:06.227] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:06.227] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
